السنة,الدولة,المؤسسات,البنية التحتية,التعليم/ القوى العاملة,الحكومة الالكترونية,الابتكار,الجهوزية والمعرفة التكنولوجية,تطور الاسولق /بيئة العمل,نمو السوق المالي,التنمية المستدامة,مؤشر الاقتصاد الرقمي
2018,ليبيا,26.24,27.69,36.62,39.33,29.1,40.35,27.96,29.16,14.81,30
2018,الامارات,5.83,78.38,79.04,82.92,65.26,82.65,67.07,64.38,64.38,75
2018,نونس,48.42,45.45,58.93,62.54,39.39,53.56,53.1,40.42,63.23,51
2018,السعودية,55.72,62.68,66.01,78.04,49.31,69.31,66.03,52.5,71.46,63
2018,مصر,38.47,45.03,40.07,48.8,35.1,50.22,56.27,48.12,62.14,47
2020,ليبيا,5.11,20.72,42.56,11.95,16.07,5.18,19.97,18.84,46.65,17
2020,الامارات,74.73,94.06,73.74,71.64,40.92,20.54,58.06,72.93,74.32,70
2020,نونس,47.7,43.68,61.64,50.75,28.2,13,36.5,48.65,56.67,44
2020,السعودية,55.18,65.91,77.06,70.65,43.4,15.83,45.69,70.85,60.61,59
2020,مصر,42.77,40.46,54.59,51.95,32.62,14.75,36.64,51.23,52.22,42
2022,ليبيا,32.96,12.83,35.17,20.05,27.34,6.52,22.29,32.58,23.55,23
2022,الامارات,65.69,71.83,98.28,73.2,63.94,28.35,73.67,85.45,73.21,71
2022,نونس,63.15,37.48,58.04,65.26,44.66,21.38,59,57.11,70.15,54
2022,السعودية,65.4,57.55,76.97,80.24,61.37,20.85,73.6,82.77,75.93,66
2022,مصر,50.82,39.25,59.33,55.27,47.1,20.66,64.9,66.56,65.77,52
2024,ليبيا,7,26,12,34,10,20,25,6,20,21
2024,الامارت,67,88,55,90,61,86,69,72,77,75
2024,تونس,46,49,49,65,23,55,69,18,75,50
2024,السعودية,54,82,69,85,49,78,56,81,78,72
2024,مصر,35,58,39,59,28,64,51,22,67,50
